system,frequency_cm-1,real_in_plane,real_out_of_plane,imag_in_plane,imag_out_of_plane,response_kind
HfO2,0.0,75.761034172,18.045191328,0.0,0.0,total relative dielectric
HfO2,0.304,75.761685984,18.04520381,0.017272340431,0.0003287080032,total relative dielectric
HfO2,0.608,75.763641498,18.045241259,0.034546739594,0.00065741971954,total relative dielectric
HfO2,0.912,75.766900943,18.045303673,0.051825256832,0.00098613886224,total relative dielectric
HfO2,1.216,75.771464705,18.045391055,0.069109952719,0.0013148691448,total relative dielectric
HfO2,1.52,75.777333322,18.045503403,0.086402889673,0.0016436142809,total relative dielectric
HfO2,1.824,75.784507486,18.045640721,0.10370613257,0.0019723779848,total relative dielectric
HfO2,2.128,75.792988044,18.04580301,0.12102174936,0.0023011639711,total relative dielectric
HfO2,2.432,75.802775998,18.045990271,0.1383518117,0.0026299759553,total relative dielectric
HfO2,2.736,75.813872504,18.046202506,0.15569839555,0.0029588176533,total relative dielectric
HfO2,3.04,75.826278873,18.046439719,0.17306358183,0.0032876927821,total relative dielectric
HfO2,3.344,75.839996573,18.046701911,0.190449457,0.0036166050596,total relative dielectric
HfO2,3.648,75.855027226,18.046989085,0.20785811374,0.0039455582046,total relative dielectric
HfO2,3.952,75.871372613,18.047301245,0.22529165155,0.0042745559372,total relative dielectric
HfO2,4.256,75.889034669,18.047638395,0.2427521774,0.0046036019787,total relative dielectric
HfO2,4.56,75.90801549,18.048000538,0.26024180637,0.0049327000518,total relative dielectric
HfO2,4.864,75.928317327,18.048387677,0.27776266229,0.0052618538807,total relative dielectric
HfO2,5.168,75.949942591,18.048799819,0.29531687839,0.005591067191,total relative dielectric
HfO2,5.472,75.972893854,18.049236967,0.31290659796,0.0059203437102,total relative dielectric
HfO2,5.776,75.997173847,18.049699125,0.33053397502,0.0062496871675,total relative dielectric
HfO2,6.08,76.022785462,18.050186301,0.34820117497,0.006579101294,total relative dielectric
HfO2,6.384,76.049731754,18.050698498,0.36591037527,0.0069085898228,total relative dielectric
HfO2,6.688,76.078015939,18.051235723,0.38366376612,0.0072381564889,total relative dielectric
HfO2,6.992,76.1076414,18.051797981,0.40146355117,0.0075678050299,total relative dielectric
HfO2,7.296,76.138611683,18.05238528,0.41931194818,0.0078975391855,total relative dielectric
HfO2,7.6,76.1709305,18.052997625,0.43721118973,0.0082273626978,total relative dielectric
HfO2,7.904,76.204601729,18.053635025,0.45516352397,0.0085572793115,total relative dielectric
HfO2,8.208,76.23962942,18.054297485,0.47317121529,0.0088872927738,total relative dielectric
HfO2,8.512,76.276017788,18.054985013,0.49123654507,0.0092174068348,total relative dielectric
HfO2,8.816,76.313771222,18.055697617,0.50936181246,0.0095476252475,total relative dielectric
HfO2,9.12,76.352894281,18.056435306,0.52754933504,0.0098779517676,total relative dielectric
HfO2,9.424,76.393391699,18.057198087,0.54580144969,0.010208390154,total relative dielectric
HfO2,9.728,76.435268384,18.05798597,0.56412051326,0.010538944169,total relative dielectric
HfO2,10.032,76.478529421,18.058798962,0.58250890343,0.010869617578,total relative dielectric
HfO2,10.336,76.523180072,18.059637074,0.60096901947,0.011200414149,total relative dielectric
HfO2,10.64,76.569225781,18.060500314,0.61950328307,0.011531337655,total relative dielectric
HfO2,10.944,76.61667217,18.061388694,0.63811413911,0.011862391872,total relative dielectric
HfO2,11.248,76.665525046,18.062302221,0.65680405659,0.012193580579,total relative dielectric
HfO2,11.552,76.7157904,18.063240908,0.67557552937,0.012524907559,total relative dielectric
HfO2,11.856,76.76747441,18.064204764,0.69443107714,0.012856376601,total relative dielectric
HfO2,12.16,76.820583444,18.065193801,0.71337324621,0.013187991494,total relative dielectric
HfO2,12.464,76.875124057,18.06620803,0.73240461047,0.013519756035,total relative dielectric
HfO2,12.768,76.931103,18.067247461,0.75152777228,0.013851674024,total relative dielectric
HfO2,13.072,76.988527217,18.068312108,0.77074536337,0.014183749264,total relative dielectric
HfO2,13.376,77.04740385,18.069401982,0.79006004587,0.014515985564,total relative dielectric
HfO2,13.68,77.107740238,18.070517095,0.80947451319,0.014848386737,total relative dielectric
HfO2,13.984,77.169543926,18.071657461,0.82899149104,0.015180956601,total relative dielectric
HfO2,14.288,77.232822657,18.072823091,0.84861373846,0.015513698978,total relative dielectric
HfO2,14.592,77.297584385,18.074014,0.8683440488,0.015846617697,total relative dielectric
HfO2,14.896,77.363837272,18.075230201,0.8881852508,0.01617971659,total relative dielectric
HfO2,15.2,77.431589689,18.076471707,0.90814020967,0.016512999493,total relative dielectric
HfO2,15.504,77.500850225,18.077738533,0.92821182813,0.016846470252,total relative dielectric
HfO2,15.808,77.571627683,18.079030693,0.94840304759,0.017180132713,total relative dielectric
HfO2,16.112,77.643931088,18.080348202,0.96871684925,0.01751399073,total relative dielectric
HfO2,16.416,77.717769688,18.081691075,0.98915625528,0.017848048163,total relative dielectric
HfO2,16.72,77.793152954,18.083059327,1.00972433,0.018182308877,total relative dielectric
HfO2,17.024,77.87009059,18.084452974,1.0304241812,0.018516776743,total relative dielectric
HfO2,17.328,77.94859253,18.085872031,1.0512589611,0.018851455638,total relative dielectric
HfO2,17.632,78.028668943,18.087316515,1.072231868,0.019186349443,total relative dielectric
HfO2,17.936,78.110330239,18.088786441,1.0933461474,0.019521462049,total relative dielectric
HfO2,18.24,78.19358707,18.090281828,1.1146050934,0.019856797351,total relative dielectric
HfO2,18.544,78.278450333,18.091802692,1.1360120497,0.020192359249,total relative dielectric
HfO2,18.848,78.364931176,18.09334905,1.1575704118,0.020528151653,total relative dielectric
HfO2,19.152,78.453040999,18.09492092,1.1792836276,0.020864178477,total relative dielectric
HfO2,19.456,78.542791461,18.09651832,1.2011551995,0.021200443643,total relative dielectric
HfO2,19.76,78.634194482,18.098141268,1.2231886854,0.021536951078,total relative dielectric
HfO2,20.064,78.727262248,18.099789782,1.2453877007,0.021873704717,total relative dielectric
HfO2,20.368,78.822007214,18.101463882,1.2677559195,0.022210708504,total relative dielectric
HfO2,20.672,78.91844211,18.103163587,1.2902970767,0.022547966388,total relative dielectric
HfO2,20.976,79.016579945,18.104888915,1.3130149691,0.022885482325,total relative dielectric
HfO2,21.28,79.11643401,18.106639887,1.3359134575,0.02322326028,total relative dielectric
HfO2,21.584,79.218017884,18.108416524,1.3589964685,0.023561304224,total relative dielectric
HfO2,21.888,79.321345441,18.110218844,1.3822679958,0.023899618137,total relative dielectric
HfO2,22.192,79.426430851,18.112046868,1.4057321029,0.024238206007,total relative dielectric
HfO2,22.496,79.533288588,18.113900619,1.4293929242,0.024577071827,total relative dielectric
HfO2,22.8,79.641933432,18.115780116,1.4532546674,0.024916219602,total relative dielectric
HfO2,23.104,79.752380479,18.117685382,1.4773216153,0.025255653342,total relative dielectric
HfO2,23.408,79.864645143,18.119616438,1.501598128,0.025595377067,total relative dielectric
HfO2,23.712,79.978743164,18.121573307,1.5260886449,0.025935394805,total relative dielectric
HfO2,24.016,80.094690611,18.123556011,1.5507976873,0.026275710593,total relative dielectric
HfO2,24.32,80.212503891,18.125564572,1.5757298598,0.026616328475,total relative dielectric
HfO2,24.624,80.332199753,18.127599014,1.6008898534,0.026957252505,total relative dielectric
HfO2,24.928,80.453795296,18.12965936,1.6262824475,0.027298486746,total relative dielectric
HfO2,25.232,80.577307974,18.131745634,1.6519125123,0.027640035269,total relative dielectric
HfO2,25.536,80.702755603,18.13385786,1.6777850118,0.027981902156,total relative dielectric
HfO2,25.84,80.83015637,18.135996062,1.7039050054,0.028324091495,total relative dielectric
HfO2,26.144,80.959528837,18.138160265,1.7302776517,0.028666607388,total relative dielectric
HfO2,26.448,81.09089195,18.140350493,1.7569082103,0.029009453942,total relative dielectric
HfO2,26.752,81.224265044,18.142566772,1.7838020452,0.029352635276,total relative dielectric
HfO2,27.056,81.359667857,18.144809128,1.8109646274,0.029696155518,total relative dielectric
HfO2,27.36,81.49712053,18.147077587,1.8384015381,0.030040018806,total relative dielectric
HfO2,27.664,81.636643619,18.149372173,1.8661184716,0.030384229289,total relative dielectric
HfO2,27.968,81.778258104,18.151692915,1.8941212383,0.030728791125,total relative dielectric
HfO2,28.272,81.921985396,18.154039839,1.9224157686,0.031073708481,total relative dielectric
HfO2,28.576,82.067847346,18.156412972,1.9510081154,0.031418985538,total relative dielectric
HfO2,28.88,82.215866254,18.158812341,1.9799044584,0.031764626485,total relative dielectric
HfO2,29.184,82.366064878,18.161237974,2.0091111069,0.032110635521,total relative dielectric
HfO2,29.488,82.518466446,18.1636899,2.0386345042,0.032457016857,total relative dielectric
HfO2,29.792,82.673094663,18.166168146,2.0684812308,0.032803774715,total relative dielectric
HfO2,30.096,82.829973719,18.168672742,2.0986580087,0.033150913328,total relative dielectric
HfO2,30.4,82.989128305,18.171203717,2.1291717054,0.033498436941,total relative dielectric
HfO2,30.704,83.150583621,18.173761099,2.1600293378,0.033846349807,total relative dielectric
HfO2,31.008,83.314365386,18.176344919,2.1912380768,0.034194656194,total relative dielectric
HfO2,31.312,83.480499848,18.178955206,2.2228052516,0.034543360381,total relative dielectric
HfO2,31.616,83.6490138,18.181591991,2.2547383542,0.034892466657,total relative dielectric
HfO2,31.92,83.819934588,18.184255305,2.2870450445,0.035241979323,total relative dielectric
HfO2,32.224,83.993290126,18.186945179,2.3197331546,0.035591902695,total relative dielectric
HfO2,32.528,84.169108906,18.189661643,2.3528106946,0.035942241098,total relative dielectric
HfO2,32.832,84.347420011,18.19240473,2.3862858569,0.03629299887,total relative dielectric
HfO2,33.136,84.528253132,18.195174472,2.4201670224,0.036644180362,total relative dielectric
HfO2,33.44,84.711638578,18.1979709,2.4544627656,0.036995789936,total relative dielectric
HfO2,33.744,84.897607289,18.200794048,2.4891818607,0.03734783197,total relative dielectric
HfO2,34.048,85.086190857,18.203643948,2.524333287,0.037700310851,total relative dielectric
HfO2,34.352,85.277421532,18.206520634,2.5599262356,0.038053230982,total relative dielectric
HfO2,34.656,85.47133224550001,18.20942414,2.5959701156,0.038406596776,total relative dielectric
HfO2,34.96,85.667956621,18.212354499,2.6324745605,0.038760412663,total relative dielectric
HfO2,35.264,85.867328993,18.215311746,2.669449435,0.039114683083,total relative dielectric
HfO2,35.568,86.069484421,18.218295915,2.7069048423,0.039469412491,total relative dielectric
HfO2,35.872,86.274458711,18.221307041,2.7448511314,0.039824605357,total relative dielectric
HfO2,36.176,86.482288431,18.22434516,2.783298904,0.040180266161,total relative dielectric
HfO2,36.48,86.693010926,18.227410308,2.8222590233,0.040536399402,total relative dielectric
HfO2,36.784,86.906664343,18.23050252,2.861742621,0.040893009589,total relative dielectric
HfO2,37.088,87.123287647,18.233621833,2.9017611067,0.041250101248,total relative dielectric
HfO2,37.392,87.342920641,18.236768283,2.9423261758,0.041607678917,total relative dielectric
HfO2,37.696,87.565603988,18.239941908,2.9834498187,0.04196574715,total relative dielectric
HfO2,38.0,87.791379232,18.243142744,3.0251443301,0.042324310517,total relative dielectric
HfO2,38.304,88.020288817,18.246370831,3.067422319,0.042683373599,total relative dielectric
HfO2,38.608,88.252376115,18.249626204,3.1102967179,0.043042940997,total relative dielectric
HfO2,38.912,88.487685445,18.252908905,3.1537807939,0.043403017323,total relative dielectric
HfO2,39.216,88.726262099,18.25621897,3.1978881589,0.043763607206,total relative dielectric
HfO2,39.52,88.968152366,18.259556439,3.2426327813,0.044124715292,total relative dielectric
HfO2,39.824,89.213403557,18.262921352,3.2880289969,0.044486346239,total relative dielectric
HfO2,40.128,89.462064035,18.266313748,3.3340915212,0.044848504724,total relative dielectric
HfO2,40.432,89.714183238,18.269733667,3.3808354621,0.045211195439,total relative dielectric
HfO2,40.736,89.969811707,18.273181151,3.4282763321,0.045574423091,total relative dielectric
HfO2,41.04,90.22900112,18.27665624,3.4764300626,0.045938192406,total relative dielectric
HfO2,41.344,90.491804317,18.280158976,3.5253130169,0.046302508123,total relative dielectric
HfO2,41.648,90.758275333,18.283689399,3.5749420054,0.046667375001,total relative dielectric
HfO2,41.952,91.028469429,18.287247552,3.6253343,0.047032797812,total relative dielectric
HfO2,42.256,91.302443125,18.290833478,3.6765076501,0.047398781349,total relative dielectric
HfO2,42.56,91.580254238,18.294447219,3.7284802989,0.047765330419,total relative dielectric
HfO2,42.864,91.86196191,18.298088818,3.7812709995,0.048132449848,total relative dielectric
HfO2,43.168,92.14762665,18.301758318,3.8348990335,0.048500144477,total relative dielectric
HfO2,43.472,92.43731037,18.305455764,3.8893842281,0.048868419169,total relative dielectric
HfO2,43.776,92.731076423,18.3091812,3.944746976,0.049237278801,total relative dielectric
HfO2,44.08,93.028989644,18.31293467,4.0010082544,0.049606728268,total relative dielectric
HfO2,44.384,93.331116392,18.316716219,4.0581896459,0.049976772486,total relative dielectric
HfO2,44.688,93.637524591,18.320525892,4.1163133597,0.050347416387,total relative dielectric
HfO2,44.992,93.948283777,18.324363736,4.1754022538,0.050718664921,total relative dielectric
HfO2,45.296,94.263465143,18.328229796,4.2354798582,0.051090523058,total relative dielectric
HfO2,45.6,94.583141584,18.332124118,4.2965703989,0.051462995786,total relative dielectric
HfO2,45.904,94.907387751,18.33604675,4.3586988233,0.051836088113,total relative dielectric
HfO2,46.208,95.236280098,18.339997738,4.4218908257,0.052209805066,total relative dielectric
HfO2,46.512,95.569896935,18.34397713,4.4861728754,0.052584151689,total relative dielectric
HfO2,46.816,95.908318486,18.347984975,4.5515722445,0.052959133048,total relative dielectric
HfO2,47.12,96.251626941,18.35202132,4.6181170378,0.053334754228,total relative dielectric
HfO2,47.424,96.599906518,18.356086215,4.6858362236,0.053711020335,total relative dielectric
HfO2,47.728,96.953243521,18.360179708,4.7547596663,0.054087936492,total relative dielectric
HfO2,48.032,97.311726405,18.364301848,4.8249181594,0.054465507845,total relative dielectric
HfO2,48.336,97.675445839,18.368452687,4.8963434614,0.05484373956,total relative dielectric
HfO2,48.64,98.044494776,18.372632273,4.969068332,0.055222636822,total relative dielectric
HfO2,48.944,98.418968522,18.376840659,5.0431265705,0.055602204839,total relative dielectric
HfO2,49.248,98.798964806,18.381077894,5.1185530561,0.055982448839,total relative dielectric
HfO2,49.552,99.184583858,18.38534403,5.1953837893,0.05636337407,total relative dielectric
HfO2,49.856,99.575928489,18.38963912,5.2736559361,0.056744985804,total relative dielectric
HfO2,50.16,99.973104165,18.393963215,5.3534078734,0.057127289332,total relative dielectric
HfO2,50.464,100.3762191,18.398316368,5.434679237,0.057510289967,total relative dielectric
HfO2,50.768,100.78538434,18.402698633,5.5175109715,0.057893993047,total relative dielectric
HfO2,51.072,101.20071384,18.407110062,5.6019453828,0.058278403928,total relative dielectric
HfO2,51.376,101.62232459,18.41155071,5.6880261928,0.058663527992,total relative dielectric
HfO2,51.68,102.05033667,18.416020631,5.7757985969,0.05904937064,total relative dielectric
HfO2,51.984,102.4848734,18.420519879,5.8653093239,0.059435937298,total relative dielectric
HfO2,52.288,102.9260614,18.425048511,5.9566066993,0.059823233415,total relative dielectric
HfO2,52.592,103.37403073,18.42960658,6.049740711,0.060211264463,total relative dielectric
HfO2,52.896,103.82891499,18.434194144,6.1447630786,0.060600035936,total relative dielectric
HfO2,53.2,104.29085145,18.438811259,6.241727326,0.060989553353,total relative dielectric
HfO2,53.504,104.75998115,18.443457981,6.3406888575,0.061379822256,total relative dielectric
HfO2,53.808,105.23644905,18.448134368,6.4417050375,0.061770848213,total relative dielectric
HfO2,54.112,105.72040417,18.452840477,6.5448352748,0.062162636812,total relative dielectric
